区域,名称,景点id,类型,级别,热度,地址,特色,经纬度
阿布扎比,法拉利主题公园,802622508,游乐场,,热度 0.0,阿联酋阿布扎比,充满浓浓Ferrari风味的主题游乐园,"54.607438960466,24.483238439098"
阿布扎比,阿布扎比卢浮宫,3647565240,展馆,,热度 0.0,阿布扎比 - 阿拉伯联合酋长国,阿拉伯世界第一个综合性博物馆,"54.3985848,24.5338772"
阿布扎比,民俗村,3154775785,城市观光,,热度 0.0,阿联酋>阿布扎比,体验在尚未发现石油前的居民传统生活面貌,"127.1186161,37.2598733"
阿拉斯加州·安克雷奇,圣家主教座堂,2408141621,城市观光,,热度 0.0,818 West Fifth Ave  Anchorage  AK 99501,安克雷奇的非常有名的地标性建筑,"-149.898346,61.21756"
爱知县·名古屋,日本乐高乐园,2025426648,游乐场,,热度 0.0,"日本〒455-8605 Aichi Prefecture, Nagoya, Minato Ward, Kinjofuto, 2 Chome−2−1",新开设的乐高乐园，小朋友的玩乐天堂,"136.8435966,35.0507051"
安徽·安庆·太湖县,五千年文博园,2494284016,公园,4A景区,热度 0.0,安徽省安庆市太湖县经济开发区（县高速路口）,探文博精髓，尽享中华上下五千年文化神韵,"116.339509,30.450821"
安徽·安庆·太湖县,太湖玖玖花海世界,130664957,农家度假,,热度 0.0,太湖县城西乡幸福村幸福畈，105国道旁,体验天然氧吧 ，感受农业风光,"116.26735,30.418999"
安徽·安庆·桐城市,活海家庭总动员,2228882781,游乐场,,热度 0.0,安徽省安庆桐城市桐潜路仙龙湖旅游度假区内,活海家庭总动员，隶属于桐城市仙龙湖文化旅游度假区，承建20项以上单个陆地游玩园的游乐项目：超大蹦床心跳馆、冰山惊魂（鬼屋,"116.929862,31.037422"
安徽·安庆·岳西县,明堂山,3627169859,自然风光,4A景区,热度 0.7,安徽省安庆市岳西县河图镇,远离城市雾霾,"116.108917,30.862298"
安徽·安庆·岳西县,大别山彩虹瀑布,2640909024,自然风光,,热度 0.0,安徽省安庆市岳西县黄尾镇黄尾村,原生态猴河峡谷，数千米的奇石走廊,"116.323126,31.13113"
安徽·安庆·岳西县,天峡,964947690,自然风光,4A景区,热度 0.0,安徽省安庆市岳西县河图镇,峭壁林立，飞瀑流泉，草木葳蕤秀丽,"116.049173,30.823101"
安徽·安庆·岳西县,大别山映山红生态文化大观园,2029776552,农家度假,,热度 0.0,安徽省安庆市岳西县莲云乡平岗村,满山遍野的红花将整个山川装饰得如同彩锦,"116.326472,30.865306"
安徽·蚌埠,花鼓灯嘉年华,2968904927,游乐场,,热度 0.0,安徽省蚌埠市蚌山区燕山路768号花鼓灯嘉年华景区,全家总动员，来一场园游会吧,"117.351802,32.90861"
安徽·蚌埠,蚌埠海贝海洋乐园,783776209,游乐场,,热度 0.0,安徽省蚌埠市花鼓灯嘉年华环形广场内摩天轮东侧,透过海洋生物展示大自然的魅力和神奇,"117.352145,32.907238"
安徽·蚌埠·怀远县,蚌埠花博园,1081688269,公园,,热度 0.0,安徽省蚌埠市禹会区秦集镇宗洼村东海大道西段,综合性花卉产业园,"117.243159,32.926051"
安徽·亳州·毫州市,花戏楼,3438931277,文化古迹,4A景区,热度 0.7,安徽省亳州市谯城区咸宁街一号花戏楼路北段路东,建筑雕刻精湛、彩绘绚丽，驰名中外,"115.779926,33.890649"
安徽·亳州·谯城区,曹操运兵道,1333952426,文化古迹,,热度 0.0,安徽省亳州市谯城区人民路49号,历史悠久，规模宏大的地下军事战道,"115.785453,33.878107"
安徽·亳州·谯城区,毫州华佗纪念馆,1423191751,展馆,,热度 0.7,安徽省亳州市谯城区永安街12号,感受外科鼻祖华佗的医术造诣,"115.788583,33.883194"
安徽·池州·池州市,九华天池,1509493157,自然风光,4A景区,热度 0.0,安徽省池州市贵池区马衙境内,江南的“阿里山”,"117.622354,30.635674"
安徽·池州·池州市,秀山门博物馆,2327624895,展馆,3A景区,热度 0.7,安徽省池州市杏村西街302号,池州历史文化名城的一个重要标志,"117.489033,30.657519"
安徽·池州·池州市,天下粮仓1949主题文化游览园,2402235271,展馆,,热度 0.0,池州市青阳县陵阳村陵阳镇街道,以粮票为主题的展馆,"117.907065,30.423761"
安徽·池州·贵池区,九华大王洞风景区,3956320263,自然风光,4A景区,热度 0.7,安徽省池州市贵池区牌楼镇,容山、水、洞于一体的庞大艺术珍品,"117.369061,30.367825"
安徽·池州·贵池区,杏花村,949232276,文化古迹,4A景区,热度 0.7,安徽省池州市贵池区杏花村大道108号,杏花自古艳池阳，美酒名花十里香,"117.477931,30.649788"
安徽·池州·九华山,九华山大愿文化园,2000224039,城市观光,,热度 0.0,安徽省池州市九华山风景区柯村新区,安忍不动犹如大地，静虑深密犹如秘藏,"117.797575,30.553272"
安徽·池州·青阳县,九华山,489004853,自然风光,5A景区,热度 1.0,安徽省池州市九华山镇二一九省道,神奇灵秀地，大愿九华山,"117.810454,30.488263"
安徽·池州·青阳县,青阳乐活农庄,1205566412,农家度假,,热度 0.0,安徽省池州市青阳县新河镇洪山村,户外亲子互动、体验农耕生活,"117.882326,30.702131"
安徽·池州·青阳县,池州天下粮仓风景区,1650428856,展馆,,热度 0.0,池州市青阳县陵阳村陵阳镇街道天下粮仓文化体验区,建国以来全国各地各行业20多万枚的粮票展,"117.907065,30.423761"
安徽·池州·石台县,石台牯牛降,852074189,自然风光,4A景区,热度 0.0,安徽省石台县牯牛降景区,以雄、奇、险著称，古称“西黄山”,"117.506383,30.139377"
安徽·池州·石台县,蓬莱仙洞,1559427726,公园,4A景区,热度 0.72,安徽省池州市石台县仁里镇杜村,来“仙山”看“仙洞”,"117.552398,30.23721"
安徽·滁州·滁州市,琅琊山,3819310029,自然风光,4A景区,热度 1.0,安徽省滁州市南谯区览山路111号,景色蔚然深秀，有“蓬莱之后无别山”之誉,"118.288777,32.283117"
安徽·滁州·凤阳县,狼巷迷谷,2429827031,自然风光,4A景区,热度 0.74,安徽省滁州市凤阳县殷涧镇城东南30公里处,谷内景观千姿百态，如同天然迷宫,"117.611931,32.664887"
安徽·滁州·来安县,景华生态园,712385525,农家度假,,热度 0.0,安徽省滁州市来安县汊河经济开发区景华生态园,现代都市周边少有的世外桃源式园林,"118.581262,32.253188"
安徽·阜阳,太和环球嘉年华游乐园,4119726038,游乐场,,热度 0.0,安徽省阜阳市太和县沙颍河三桥南往西,皖西北地区体验旅游的重要标志,"115.605289,33.149615"
安徽·阜阳·颍泉区,阜阳生态园,2068362866,农家度假,4A景区,热度 0.72,安徽省阜阳市欧阳修路666号,大型游乐园，是游客活动的好天地,"115.798013,32.939262"
安徽·阜阳·颍上县,迪沟,3650576576,农家度假,4A景区,热度 0.9199999999999999,安徽省阜阳市颍上县迪沟开发区,生态旅游与佛教文化为一体的旅游风景区,"116.380581,32.809337"
安徽·合肥·包河区,包公园,4096662210,公园,4A景区,热度 0.8400000000000001,安徽省合肥市包河区芜湖路72号,多角度展示了包公忠孝清廉的一生,"117.300634,31.862946"
安徽·合肥·滨湖新区,合肥融创文化旅游城,1702653517,游乐场,,热度 0.0,安徽省合肥市滨湖新区环湖北路与包河大道交口西北角,极限的尖叫挑战、精彩的演艺节目,"117.325201,31.711221"
